order_id,customer_id,rating,feedback_category,sentiment,year_month
1961864118,30065862,4,Delivery,Neutral,2024-07
1549769649,9573071,3,App Experience,Negative,2024-05
9185164487,45477575,3,App Experience,Neutral,2024-09
9644738826,88067569,4,App Experience,Neutral,2023-11
5427684290,83298567,3,Delivery,Negative,2023-11
3265154092,43367112,2,Customer Service,Negative,2023-03
4898355547,13284996,4,Product Quality,Positive,2023-04
6568151549,88866835,2,App Experience,Negative,2024-03
6006693867,24496983,3,Delivery,Negative,2023-07
374186990,52215833,3,App Experience,Neutral,2023-08
4455336265,43431724,2,Delivery,Negative,2023-08
3539286337,77559557,3,Delivery,Neutral,2023-04
9171116867,87107263,4,Customer Service,Neutral,2023-10
5504941865,76512976,5,App Experience,Positive,2024-01
5868326481,37556526,4,Product Quality,Neutral,2024-03
2137046916,12059049,4,Customer Service,Positive,2024-02
8195544338,26199489,4,Delivery,Neutral,2023-04
2889700050,84848018,4,Delivery,Neutral,2024-04
65827885,47577193,1,Delivery,Negative,2023-07
4656471694,60728956,3,Customer Service,Negative,2023-12
6625178717,62068277,2,Product Quality,Negative,2023-07
7169557514,84824280,2,Product Quality,Negative,2023-03
2268306684,66742602,5,Delivery,Positive,2024-05
6905293278,97259564,3,Delivery,Neutral,2024-06
1769493463,3292927,2,App Experience,Negative,2024-06
5003387344,26592009,4,Delivery,Neutral,2024-06
2064484752,89995124,3,Customer Service,Neutral,2024-05
964822979,88520326,3,Product Quality,Negative,2024-07
6037899648,22738465,3,Product Quality,Neutral,2024-03
9347571484,29562072,3,Product Quality,Negative,2024-11
3286177534,10225164,3,Delivery,Neutral,2023-06
9073572548,97111069,4,Customer Service,Neutral,2023-05
8395583761,1989720,4,App Experience,Positive,2024-08
6355378227,67092149,4,Customer Service,Positive,2023-08
277376321,89784343,4,App Experience,Positive,2024-07
8559748526,45868300,4,App Experience,Neutral,2023-04
1458051433,50760752,4,App Experience,Neutral,2024-04
5838302640,96795047,4,App Experience,Neutral,2023-05
1380971977,16561710,3,Product Quality,Neutral,2024-06
1221099013,35156679,4,Customer Service,Neutral,2023-07
6771166303,87718744,3,Product Quality,Negative,2023-07
7111337755,10524732,4,Customer Service,Neutral,2023-05
5562922993,62416456,4,Product Quality,Neutral,2023-12
5630957897,69925688,4,Delivery,Neutral,2024-06
1787380558,5140660,4,App Experience,Neutral,2023-11
32613017,82594354,5,Delivery,Positive,2023-03
2039041670,88324928,4,Product Quality,Neutral,2024-11
210693801,71235336,3,Customer Service,Negative,2024-08
8120002258,57833505,3,Delivery,Neutral,2024-01
2177917034,12402437,5,App Experience,Positive,2024-02
4254814926,59890331,3,App Experience,Negative,2024-04
